Ranking,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Event
1,19.76,0.6,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1258,Men's 200m
2,19.84,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245,Men's 200m
3,12.35,-0.5,Tobi AMUSAN,23 APR 1997,NGR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1242,Women's 100mH
4,9.9,1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241,Men's 100m
4,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241,Women's 100mH
6,9.92,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1234,Men's 100m
7,44.24,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1233,Men's 400m
8,12.47,-1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1231,Women's 100mH
8,9.93,0.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1231,Men's 100m
10,12.47,0.0,Tobi AMUSAN,23 APR 1997,NGR,3f1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1223,Women's 100mH
11,12.48,0.4,Tobi AMUSAN,23 APR 1997,NGR,1h5,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1221,Women's 100mH
12,9.96,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1220,Men's 100m
13,12.52,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Olympiastadion, Stockholm (SWE)",02 JUL 2023,1216,Women's 100mH
14,12.56,-0.7,Tobi AMUSAN,23 APR 1997,NGR,1sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1214,Women's 100mH
15,9.98,1.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,6,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1213,Men's 100m
16,12.57,-0.4,Tobi AMUSAN,23 APR 1997,NGR,1,"National Stadium, Kingston (JAM)",03 JUN 2023,1211,Women's 100mH
17,20.07,0.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1209,Men's 200m
18,48.47,,Ezekiel NATHANIEL,20 JUN 2003,NGR,4h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1207,Men's 400mH
19,12.59,1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1206,Women's 100mH
20,48.52,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1205,Men's 400mH
21,48.54,,Ezekiel NATHANIEL,20 JUN 2003,NGR,3,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1204,Men's 400mH
22,12.62,-0.2,Tobi AMUSAN,23 APR 1997,NGR,6f1,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1203,Women's 100mH
22,48.55,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"Wolfe Track & Field Complex, Memphis, TN (USA)",04 AUG 2023,1203,Men's 400mH
22,44.67,,Emmanuel BAMIDELE,06 JUL 1999,NGR,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1203,Men's 400m
25,44.71,,Emmanuel BAMIDELE,06 JUL 1999,NGR,4,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1200,Men's 400m
26,10.02,1.4,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Alumni Stadium, London (CAN)",28 MAY 2023,1199,Men's 100m
26,10.02,1.8,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,8,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1199,Men's 100m
28,11.01,0.1,Rosemary CHUKWUMA,05 DEC 2001,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1198,Women's 100m
28,20.14,1.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023,1198,Men's 200m
30,10.03,0.8,Seye OGUNLEWE,30 AUG 1991,NGR,1f1,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1196,Men's 100m
31,44.8,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1h1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1194,Men's 400m
32,48.74,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1193,Men's 400mH
32,12.69,-0.2,Tobi AMUSAN,23 APR 1997,NGR,8,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1193,Women's 100mH
32,10.04,1.3,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1193,Men's 100m
32,10.04,0.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,4sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1193,Men's 100m
32,10.04,0.1,Seye OGUNLEWE,30 AUG 1991,NGR,2f,"Stadion Eggenberg, Graz (AUT)",16 JUN 2023,1193,Men's 100m
37,12.69,1.1,Tobi AMUSAN,23 APR 1997,NGR,4,"Drake Stadium, Des Moines, IA (USA)",29 APR 2023,1192,Women's 100mH
38,12.7,-0.1,Tobi AMUSAN,23 APR 1997,NGR,1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1191,Women's 100mH
39,10.05,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1189,Men's 100m
39,10.05,0.8,Usheoritse ITSEKIRI,31 JAN 1998,NGR,2f1,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1189,Men's 100m
41,10.06,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1h3,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1186,Men's 100m
42,12.74,1.1,Tobi AMUSAN,23 APR 1997,NGR,1h1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1185,Women's 100mH
43,48.95,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1183,Men's 400mH
44,10.07,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1f1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",31 MAR 2023,1182,Men's 100m
44,10.07,0.8,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,5sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1182,Men's 100m
44,10.07,0.0,Seye OGUNLEWE,30 AUG 1991,NGR,3h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1182,Men's 100m
47,11.09,1.0,Rosemary CHUKWUMA,05 DEC 2001,NGR,2h3,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1180,Women's 100m
48,10.08,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Vanderbilt Track, Nashville, TN (USA)",29 APR 2023,1179,Men's 100m
48,10.08,1.4,Seye OGUNLEWE,30 AUG 1991,NGR,1sf3,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1179,Men's 100m
48,10.08,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1179,Men's 100m
51,49.04,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1178,Men's 400mH
51,11.1,1.6,Tobi AMUSAN,23 APR 1997,NGR,3f2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1178,Women's 100m
53,22.58,1.7,Favour OFILI,31 DEC 2002,NGR,1h7,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1177,Women's 200m
54,10.09,2.0,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h3,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 MAY 2023,1176,Men's 100m
54,45.06,,Emmanuel BAMIDELE,06 JUL 1999,NGR,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1176,Men's 400m
56,10.1,1.7,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2pr1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",24 MAY 2023,1172,Men's 100m
57,22.66,-0.4,Favour OFILI,31 DEC 2002,NGR,4h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1171,Women's 200m
58,10.11,1.7,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Foothills Athletic Park, Calgary (CAN)",18 JUN 2023,1169,Men's 100m
58,20.33,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1pr6,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1169,Men's 200m
58,49.22,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1169,Men's 400mH
58,10.11,0.4,Seye OGUNLEWE,30 AUG 1991,NGR,2,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1169,Men's 100m
62,49.24,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2023,1168,Men's 400mH
63,20.34,0.9,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1f2,"Alumni Field, Windsor (CAN)",24 JUN 2023,1167,Men's 200m
64,10.12,0.0,Seye OGUNLEWE,30 AUG 1991,NGR,5sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1165,Men's 100m
64,10.12,0.0,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1sf2,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1165,Men's 100m
64,10.12,0.4,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,3,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1165,Men's 100m
67,11.17,0.9,Favour OFILI,31 DEC 2002,NGR,5,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1163,Women's 100m
67,22.72,1.8,Rosemary CHUKWUMA,05 DEC 2001,NGR,1f9,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",21 APR 2023,1163,Women's 200m
69,10.13,1.5,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",08 APR 2023,1162,Men's 100m
69,10.13,0.4,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,4,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1162,Men's 100m
71,11.19,1.4,Rosemary CHUKWUMA,05 DEC 2001,NGR,1pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",25 MAY 2023,1159,Women's 100m
71,10.14,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1f1,"Sam Bailey Track Stadium, Tuscaloosa, AL (USA)",22 APR 2023,1159,Men's 100m
73,13.5,0.7,Stephen ELOJI,,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1158,Men's 110mH
73,49.44,,Ezekiel NATHANIEL,20 JUN 2003,NGR,4f1,"Percy Beard Track, Gainesville, FL (USA)",14 APR 2023,1158,Men's 400mH
75,49.47,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1156,Men's 400mH
76,10.15,0.3,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",31 MAR 2023,1155,Men's 100m
76,10.16,-0.5,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1155,Men's 100m
78,11.24,-1.0,Rosemary CHUKWUMA,05 DEC 2001,NGR,4h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1154,Women's 100m
79,10.16,-0.2,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1153,Men's 100m
79,20.43,0.1,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1153,Men's 200m
81,10.16,1.6,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1h1,"Alumni Field, Windsor (CAN)",24 JUN 2023,1152,Men's 100m
82,10.17,-0.6,Usheoritse ITSEKIRI,31 JAN 1998,NGR,3h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1151,Men's 100m
83,49.59,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",31 MAR 2023,1150,Men's 400mH
83,22.86,-0.2,Favour OFILI,31 DEC 2002,NGR,7sf3,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1150,Women's 200m
85,20.46,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,4sf1,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1149,Men's 200m
86,10.17,0.2,Seye OGUNLEWE,30 AUG 1991,NGR,3,"Stadion Manfort, Leverkusen (GER)",29 JUL 2023,1148,Men's 100m
86,10.17,1.4,Karlington ANUNAGBA,07 JUL 2001,NGR,5h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1148,Men's 100m
88,20.47,1.3,Emmanuel BAMIDELE,06 JUL 1999,NGR,1f2,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1147,Men's 200m
89,10.19,-0.7,Seye OGUNLEWE,30 AUG 1991,NGR,1h1,"Stadion Manfort, Leverkusen (GER)",29 JUL 2023,1146,Men's 100m
89,51.51,,Imaobong Nse UKO,20 FEB 2004,NGR,5h3,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1146,Women's 400m
89,22.89,0.0,Favour OFILI,31 DEC 2002,NGR,6,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1146,Women's 200m
89,11.26,-0.4,Rosemary CHUKWUMA,05 DEC 2001,NGR,8sf1,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1146,Women's 100m
93,10.18,1.2,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1h1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1145,Men's 100m
93,10.18,0.6,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1h1,"Alumni Stadium, Guelph (CAN)",21 JUN 2023,1145,Men's 100m
93,22.94,-0.8,Favour OFILI,31 DEC 2002,NGR,1f2,"Wolfe Track & Field Complex, Memphis, TN (USA)",04 AUG 2023,1145,Women's 200m
93,22.9,1.4,Rosemary CHUKWUMA,05 DEC 2001,NGR,2h3,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1145,Women's 200m
97,11.26,0.8,Faith OKWOSE,27 MAY 2006,NGR,1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",07 AUG 2023,1144,Women's 100m
97,20.49,1.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h3,"Hilmer Lodge Stadium, Walnut, CA (USA)",12 MAY 2023,1144,Men's 200m
99,10.19,0.3,Usheoritse ITSEKIRI,31 JAN 1998,NGR,8sf1,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1142,Men's 100m
99,22.93,0.9,Favour OFILI,31 DEC 2002,NGR,5sf2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1142,Women's 200m
