Ranking,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
1,19.76,0.6,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1258
2,19.84,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245
3,12.35,-0.5,Tobi AMUSAN,23 APR 1997,NGR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1242
4,12.35,-0.5,Tobi AMUSAN,23 APR 1997,NGR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1242
5,9.9,1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
6,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241
7,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241
8,19.91,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 MAY 2023,1234
9,9.92,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1234
10,44.24,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1233
11,12.47,-1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1231
12,12.47,-1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1231
13,9.93,0.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1231
14,12.47,0.0,Tobi AMUSAN,23 APR 1997,NGR,3f1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1223
15,12.47,0.0,Tobi AMUSAN,23 APR 1997,NGR,3f1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1223
16,12.48,0.4,Tobi AMUSAN,23 APR 1997,NGR,1h5,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1221
17,12.48,0.4,Tobi AMUSAN,23 APR 1997,NGR,1h5,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1221
18,9.96,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1220
19,12.52,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Olympiastadion, Stockholm (SWE)",02 JUL 2023,1216
20,12.52,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Olympiastadion, Stockholm (SWE)",02 JUL 2023,1216
21,12.56,-0.7,Tobi AMUSAN,23 APR 1997,NGR,1sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1214
22,12.56,-0.7,Tobi AMUSAN,23 APR 1997,NGR,1sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1214
23,9.98,1.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,6,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1213
24,12.57,-0.4,Tobi AMUSAN,23 APR 1997,NGR,1,"National Stadium, Kingston (JAM)",03 JUN 2023,1211
25,12.57,-0.4,Tobi AMUSAN,23 APR 1997,NGR,1,"National Stadium, Kingston (JAM)",03 JUN 2023,1211
26,20.07,0.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1209
27,48.47,,Ezekiel NATHANIEL,20 JUN 2003,NGR,4h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1207
28,12.59,1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1206
29,12.59,1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1206
30,48.52,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1205
31,48.54,,Ezekiel NATHANIEL,20 JUN 2003,NGR,3,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1204
32,48.55,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"Wolfe Track & Field Complex, Memphis, TN (USA)",04 AUG 2023,1203
33,12.62,-0.2,Tobi AMUSAN,23 APR 1997,NGR,6f1,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1203
34,12.62,-0.2,Tobi AMUSAN,23 APR 1997,NGR,6f1,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1203
35,44.67,,Emmanuel BAMIDELE,06 JUL 1999,NGR,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1203
36,44.71,,Emmanuel BAMIDELE,06 JUL 1999,NGR,4,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1200
37,10.02,0.4,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1199
38,10.02,1.4,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Alumni Stadium, London (CAN)",28 MAY 2023,1199
39,10.02,1.8,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,8,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1199
40,20.14,1.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023,1198
41,11.01,0.1,Rosemary CHUKWUMA,05 DEC 2001,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1198
42,10.03,0.8,Seye OGUNLEWE,30 AUG 1991,NGR,1f1,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1196
43,44.79,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1f2,"Stadion Wankdorf, Bern (SUI)",04 AUG 2023,1194
44,44.8,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1h1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1194
45,10.04,0.1,Seye OGUNLEWE,30 AUG 1991,NGR,2f,"Stadion Eggenberg, Graz (AUT)",16 JUN 2023,1193
46,10.04,0.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,4sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1193
47,10.04,1.3,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1193
48,48.74,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1193
49,12.69,-0.2,Tobi AMUSAN,23 APR 1997,NGR,8,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1193
50,12.69,-0.2,Tobi AMUSAN,23 APR 1997,NGR,8,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1193
51,12.69,1.1,Tobi AMUSAN,23 APR 1997,NGR,4,"Drake Stadium, Des Moines, IA (USA)",29 APR 2023,1192
52,12.69,1.1,Tobi AMUSAN,23 APR 1997,NGR,4,"Drake Stadium, Des Moines, IA (USA)",29 APR 2023,1192
53,12.7,-0.1,Tobi AMUSAN,23 APR 1997,NGR,1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1191
54,12.7,-0.1,Tobi AMUSAN,23 APR 1997,NGR,1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1191
55,10.05,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1189
56,10.05,0.8,Usheoritse ITSEKIRI,31 JAN 1998,NGR,2f1,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1189
57,10.05,0.0,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Alumni Stadium, Guelph (CAN)",21 JUN 2023,1189
58,10.06,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1h3,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1186
59,12.74,1.1,Tobi AMUSAN,23 APR 1997,NGR,1h1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1185
60,12.74,1.1,Tobi AMUSAN,23 APR 1997,NGR,1h1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1185
61,48.95,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1183
62,10.07,0.8,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,5sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1182
63,10.07,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1f1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",31 MAR 2023,1182
64,10.07,0.0,Seye OGUNLEWE,30 AUG 1991,NGR,3h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1182
65,11.09,1.0,Rosemary CHUKWUMA,05 DEC 2001,NGR,2h3,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1180
66,10.08,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Vanderbilt Track, Nashville, TN (USA)",29 APR 2023,1179
67,10.08,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1179
68,10.08,1.4,Seye OGUNLEWE,30 AUG 1991,NGR,1sf3,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1179
69,11.1,1.6,Tobi AMUSAN,23 APR 1997,NGR,3f2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1178
70,49.04,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1178
71,22.58,1.7,Favour OFILI,31 DEC 2002,NGR,1h7,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1177
72,10.09,2.0,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h3,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 MAY 2023,1176
73,45.06,,Emmanuel BAMIDELE,06 JUL 1999,NGR,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1176
74,10.1,1.7,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2pr1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",24 MAY 2023,1172
75,22.66,-0.4,Favour OFILI,31 DEC 2002,NGR,4h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1171
76,49.22,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1169
77,49.22,,Ezekiel NATHANIEL,20 JUN 2003,NGR,6sf1,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1169
78,20.33,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1pr6,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1169
79,10.11,1.7,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Foothills Athletic Park, Calgary (CAN)",18 JUN 2023,1169
80,10.11,0.4,Seye OGUNLEWE,30 AUG 1991,NGR,2,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1169
81,49.24,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2023,1168
82,20.34,0.9,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1f2,"Alumni Field, Windsor (CAN)",24 JUN 2023,1167
83,10.12,0.0,Seye OGUNLEWE,30 AUG 1991,NGR,5sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1165
84,10.12,0.4,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,3,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1165
85,10.12,0.0,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1sf2,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1165
86,11.17,0.9,Favour OFILI,31 DEC 2002,NGR,5,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1163
87,22.72,1.8,Rosemary CHUKWUMA,05 DEC 2001,NGR,1f9,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",21 APR 2023,1163
88,10.13,0.4,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,4,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1162
89,10.13,1.5,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",08 APR 2023,1162
90,10.14,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1f1,"Sam Bailey Track Stadium, Tuscaloosa, AL (USA)",22 APR 2023,1159
91,11.19,1.4,Rosemary CHUKWUMA,05 DEC 2001,NGR,1pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",25 MAY 2023,1159
92,13.5,0.7,Stephen ELOJI,,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1158
93,49.44,,Ezekiel NATHANIEL,20 JUN 2003,NGR,4f1,"Percy Beard Track, Gainesville, FL (USA)",14 APR 2023,1158
94,49.47,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1156
95,10.15,0.3,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",31 MAR 2023,1155
96,10.16,-0.5,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1155
97,11.24,-1.0,Rosemary CHUKWUMA,05 DEC 2001,NGR,4h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1154
98,11.21,0.2,Rosemary CHUKWUMA,05 DEC 2001,NGR,5,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1154
99,11.21,0.2,Rosemary CHUKWUMA,05 DEC 2001,NGR,3,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1154
100,20.43,0.1,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1153
